Country code,Country,FP.CPI.TOTL.ZG,IT.NET.USER.P2,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,NY.GDP.PCAP.CD,SL.UEM.TOTL.ZS,SP.DYN.LE00.IN,SP.POP.TOTL
CHL,Chile,1.791710733,66.5,32.40698268,33.06321126,15741.71166,6,79.83680488,17575833
CHN,China,2.630845103,45.8,23.32092861,20.58394514,6991.853866,4.599999905,75.35302439,1357380000
COL,Colombia,2.022774948,51.7,17.61531389,20.22084964,8027.97816,10.5,73.97882927,47342363
CRI,Costa Rica,5.224285869,45.96,35.45977362,39.03483835,10461.57682,7.599999905,79.921,4706433
CIV,Côte d'Ivoire,2.569960899,8.4,43.75877361,41.15195043,1447.222711,4,50.75741463,21622490
HRV,Croatia,2.206461781,66.7476,42.94394717,42.48019749,13597.92145,17.70000076,77.12682927,4255700
CYP,Cyprus,-0.400053061,65.4548,50.82996025,48.34526744,27910.61983,15.80000019,79.80431707,1141652
CZE,Czech Republic,1.434726602,74.1104,77.24831509,71.4415627,19858.34346,6.900000095,78.27804878,10514272
DNK,Denmark,0.78261432,94.6297,54.27342023,48.53299392,59818.63153,7,80.30243902,5614932
DOM,Dominican Republic,4.830950967,45.9,25.43941643,31.17962045,5952.322754,14.89999962,73.45095122,10281408
EGY,Egypt,9.42157654,29.4,18.05737752,24.78183996,3104.219707,12.69999981,71.13292683,87613909
SLV,El Salvador,0.757824507,23.1093,26.39257021,45.81043814,3983.664727,6.300000191,72.33892683,6089644
EST,Estonia,2.788496796,79.4,86.08982432,84.64522808,18877.33049,8.800000191,76.42439024,1317997
ETH,Ethiopia,8.078472326,1.9,12.48670179,29.06306913,502.5967236,5.699999809,63.61734146,94558374
FIN,Finland,1.475936667,91.5144,38.43956534,39.3009728,49310.22922,8.199999809,80.83170732,5438972
FRA,France,0.86360693,81.9198,28.50094375,30.35966294,42627.65244,10.39999962,81.96829268,65925498
GAB,Gabon,0.480142671,9.2,56.54057647,36.53961176,10425.10551,19.60000038,63.441,1650351
GMB,"Gambia, The",5.699730297,14,36.9546186,50.84687464,477.3989285,7,58.83134146,1866878
GEO,Georgia,-0.51510058,43.3,44.68923236,57.6413824,3596.90832,14.30000019,74.0795122,4487200
DEU,Germany,1.504722267,84.17,45.56455287,39.75386904,46254.97659,5.300000191,81.04390244,80645605
GHA,Ghana,11.60833333,12.3,33.35522315,46.30568847,1856.900161,4.599999905,61.09863415,26164432
GRC,Greece,-0.921271918,59.8663,30.22786334,33.19231762,21965.96289,27.29999924,80.63414634,11027549
GTM,Guatemala,4.343371313,19.7,23.71968813,34.82864223,3432.022425,2.799999952,71.99282927,15690793
GIN,Guinea,11.88842377,1.6,28.45685617,54.60720572,521.5389082,1.799999952,56.09165854,11948726
GUY,Guyana,1.832450594,35,,,3928.87895,11.10000038,66.20790244,761033
HTI,Haiti,5.853472722,10.6,14.34731266,48.48942092,810.3273325,7,63.05885366,10431249
HND,Honduras,5.161898986,17.8,47.94146486,68.36452262,2356.517955,4.199999809,73.80304878,7849059
HKG,Hong Kong SAR,4.351767906,74.2,227.9314618,227.3452536,38364.1949,3.299999952,83.83170732,7187500
HUN,Hungary,1.725839487,72.6439,88.76109733,81.16752924,13486.58574,10.19999981,75.26829268,9893082
ISL,Iceland,3.884644993,96.5468,55.60853276,47.44464464,47548.68774,5.599999905,83.11707317,323764
IND,India,10.90764331,15.1,25.16261774,28.12107832,1455.102191,3.599999905,66.4562439,1279498874
IDN,Indonesia,6.413386778,14.94,23.97715674,24.76931514,3623.53236,6.300000191,70.81743902,251268276
IRN,"Iran, Islamic Rep.",39.26636098,29.95,,,6400.294877,13.19999981,74.0687561,77152445
IRL,Ireland,0.502678204,78.2477,105.3004957,84.49738888,50470.31947,13.10000038,81.04390244,4598294
ISR,Israel,1.525873129,70.8,32.92492289,31.55089848,36050.69796,6.300000191,82.05609756,8059500
ITA,Italy,1.219992129,58.4593,28.81512843,26.49530384,35477.47287,12.19999981,82.2902439,60233948
JAM,Jamaica,9.344402834,37.1,29.77816737,52.63435367,5290.486134,15,73.46892683,2714734
JPN,Japan,0.35947166,89.71,16.15140129,18.99106072,38633.70806,4,83.33195122,127338621
JOR,Jordan,5.468989069,41,42.47885962,71.95651081,5200.285397,12.60000038,73.90141463,6460000
KAZ,Kazakhstan,5.836702333,54,38.24956191,26.69597895,13611.53736,5.199999809,70.45,17035275
KEN,Kenya,5.71827408,39,17.89092376,33.38572052,1257.202838,9.199999809,61.68397561,43692881
KOR,"Korea, Rep.",1.307866014,84.77,53.87507631,48.8956766,25997.88066,3.099999905,81.4597561,50219669
KWT,Kuwait,2.702702703,75.46,71.56064866,26.54695102,48926.52543,3.099999905,74.4627561,3593689
KGZ,Kyrgyz Republic,6.606535722,23,42.25015396,91.77663169,1282.437162,8,70.20243902,5719600
LAO,Lao PDR,6.364939277,12.5,37.21824544,46.14796525,1700.537964,1.399999976,68.24941463,6579985
LVA,Latvia,,75.2344,59.39780787,62.31506555,15357.26927,11.10000038,73.9804878,2012647
LBN,Lebanon,5.543828737,70.5,56.86896582,71.16188923,9870.486278,6.5,80.12887805,4493438
LSO,Lesotho,4.928340711,5,41.74795401,104.5396243,1031.021336,24.70000076,49.33146341,2083061
LBY,Libya,2.605818027,16.5,70.43204245,64.82641473,10454.79255,19.60000038,75.36168293,6265987
LTU,Lithuania,1.047466621,68.4529,84.07208001,82.82106444,15689.00226,11.80000019,74.16341463,2957689
LUX,Luxembourg,1.734030794,93.7765,203.3214023,168.1183357,110664.8403,5.900000095,81.79756098,543360
MKD,"Macedonia, FYR",2.784383849,65.24,43.78581909,61.91140586,5195.278822,29,75.18802439,2072543
MDG,Madagascar,5.826429445,3,30.06689642,42.98743873,462.9740061,3.599999905,64.69139024,22924557
MWI,Malawi,27.28333333,5.05,47.55704601,60.50040167,239.8697314,7.599999905,55.23470732,16190126
MYS,Malaysia,2.105012312,66.97,81.67984652,72.40307155,10628.0093,3.200000048,75.01626829,29465372
MLI,Mali,-0.606221674,3.5,,,669.6953397,8.199999809,55.0135122,16592097
MLT,Malta,1.374906203,68.9138,,,22776.19469,6.5,80.74634146,423374
MRT,Mauritania,4.12964239,6.2,55.74778765,79.45421799,1306.007652,31,61.5117561,3872684
MUS,Mauritius,3.543295739,39,54.2841773,66.49608965,9476.841829,8.300000191,74.46,1258653
MEX,Mexico,3.806389823,43.46,31.74010116,32.63076591,10200.80583,4.900000095,77.35402439,123740109
MDA,Moldova,4.641790221,45,43.34394588,80.5959606,2243.979662,5.099999905,68.8115122,3558566
MNG,Mongolia,8.604828111,20,40.02122794,60.43788695,4387.707056,4.900000095,67.54819512,2859174
